,station_id,weekend,rain,temp_class,North Hollywood,Port of LA,DTLA,total_trip,stat_name,lat,long,walk_score,transit_score,bike_score,dregioncenter,trip_log
201,3035,0,0,0.0,0,0,1,234,Figueroa & 8th,34.048401,-118.260948,96,100.0,82,0.0096,2.369215857410143
202,3035,0,0,1.0,0,0,1,815,Figueroa & 8th,34.048401,-118.260948,96,100.0,82,0.0096,2.9111576087399764
203,3035,0,0,2.0,0,0,1,236,Figueroa & 8th,34.048401,-118.260948,96,100.0,82,0.0096,2.3729120029701067
204,3035,0,1,0.0,0,0,1,20,Figueroa & 8th,34.048401,-118.260948,96,100.0,82,0.0096,1.3010299956639813
205,3035,0,1,1.0,0,0,1,1,Figueroa & 8th,34.048401,-118.260948,96,100.0,82,0.0096,0.0
206,3035,1,0,0.0,0,0,1,74,Figueroa & 8th,34.048401,-118.260948,96,100.0,82,0.0096,1.8692317197309762
207,3035,1,0,1.0,0,0,1,256,Figueroa & 8th,34.048401,-118.260948,96,100.0,82,0.0096,2.4082399653118496
208,3035,1,0,2.0,0,0,1,83,Figueroa & 8th,34.048401,-118.260948,96,100.0,82,0.0096,1.919078092376074
209,3035,1,1,0.0,0,0,1,3,Figueroa & 8th,34.048401,-118.260948,96,100.0,82,0.0096,0.47712125471966244
210,3036,0,0,0.0,0,0,1,61,Willow St & Mateo St,34.039188,-118.232529,79,66.0,68,0.0388,1.7853298350107671
211,3036,0,0,1.0,0,0,1,199,Willow St & Mateo St,34.039188,-118.232529,79,66.0,68,0.0388,2.298853076409707
